ID,Requisito,Processo,Subprocesso,Módulo,Submodulo,ID BPD,Nome BPD,Descrição,App ID,Atende,OBS,Acelerador,FIT/GAP/DELTA,Workshop,Workshop (bagunçado),SCOPE_ITEM,ID_GAP,GAP Descrição
727,2112,Fiscal/Tributário,Relatórios,MM,SD/MM /SOLUTIO,MM - BPD007 - Localização Brasil - Entradas NFe,BPD007 - Suprimentos - Localização Brasil - Entradas NFe,"Permitir  emissão  de  relatório  de  Notas  Fiscais  de  aquisição  onde  demonstre  o  cálculo  do  diferencial  de
alíquota.",J1BNFE,,DEMO app e ver se atende SD e MM,,,,,,,
728,2113,Fiscal/Tributário,Relatórios,SD,,SD - BPD005 - Localização Brasil (Impostos NF-e Saída),BPD005 - Comercial - Localização Brasil (Impostos NF-e Saída),Permitir emissão de relatório de Notas Fiscais de saída com possíveis impostos retidos/deduzidos do preço de venda. Ex: Venda para órgãos federais.,,,,,,,"400 - Definição matriz tributária (overview cockpit de parâmetros fiscais: J1BTAX)
401 - Parâmetros fiscais e seus impactos",,,
729,2114,Fiscal/Tributário,Relatórios,SD,,SD - BPD005 - Localização Brasil (Impostos NF-e Saída),BPD005 - Comercial - Localização Brasil (Impostos NF-e Saída),"Permitir  emissão  de  relatório  de  Nota  Fiscais  Saída  com  demonstração  do  cálculo  do  Diferencial  alíquota “partilha”  na  venda  para  consumidor  final  interestadual.  Ex:  Venda  de  Arla  Interestadual  para  consumidor
final (não contribuinte) o diferencial de alíquota do Estado de destino deve ser recolhido pelo emitente.",,,,,,,"400 - Definição matriz tributária (overview cockpit de parâmetros fiscais: J1BTAX)
401 - Parâmetros fiscais e seus impactos",,,
730,2117,Fiscal/Tributário,Relatórios,SD,SD/MM /SOLUTIO,SD - BPD005 - Localização Brasil (Impostos NF-e Saída),BPD005 - Comercial - Localização Brasil (Impostos NF-e Saída),"Permitir emissão de relatório de Nfe com valores de ICMS Próprio e ICMS ST, volume, produto, filial, valor da PMPF/MVA, FCV. Ex.: Relatório auxiliar para conferência do SCANC.",J1BNFE,Parcial,DEMO app e ver se atende SD e MM,Sim-14,GAP,,"400 - Definição matriz tributária (overview cockpit de parâmetros fiscais: J1BTAX)
401 - Parâmetros fiscais e seus impactos",,,
731,2118,Fiscal/Tributário,Relatórios,SD,SD/MM /SOLUTIO,SD - BPD005 - Localização Brasil (Impostos NF-e Saída),BPD005 - Comercial - Localização Brasil (Impostos NF-e Saída),"Permitir emissão de relatório de Nfe de produtos com ICMS diferido por produto, volume e filial para efeito de cálculo e projeção do valor do Estorno ICMS apurado via SCANC.",J1BNFE,Parcial,DEMO app e ver se atende SD e MM.  GAP Previamente identificado -  Avaliar descrição de GAP com a consultoria . Tratamento para solução de alçada,,GAP,,"400 - Definição matriz tributária (overview cockpit de parâmetros fiscais: J1BTAX)
401 - Parâmetros fiscais e seus impactos",,,
732,2120,Fiscal/Tributário,Relatórios,MM,TD/SD,MM - BPD006 - Administração de estoques (incluir relatórios),BPD006 - Suprimentos - Administração de estoques (incluir relatórios),"Permitir emissão de relatório para conferência do controle de saldos de armazenagem em poder de terceiros, e de terceiros em poder próprio.","J1bnfe/MMBE (Z  Cross TD, SD)",Parcial,"GAP CROSS - Desenvolvimento
MMBE – Transação
Silos Management – IS-OIL Hydrocarbon
Será necessário desenvolver um report para controlar as quantidades armazenadas em terceiros, caso ocorra avanço de espaço deverá criar uma condição para lançamento dessa despesa. Criar desenvolvimento para atender as particularidades das condições de taxas.
Ativar business function para fazer lançamento de faturas direto para o contrato.",Não,GAP,,"ID 91 - MM (m9)  Administração de estoque (reservas, baixa de estoque, entradas em estoque, transferências e devoluções)",,,
733,2121,Fiscal/Tributário,Relatórios,MM,,MM - BPD005 - Consignação,BPD005 - Suprimentos - Consignação,"Permitir emissão de relatório para conferência dos equipamentos remetidos em comodato para terceiros, e de terceiros em poder próprio.",,,,,,,"ID 92 - MM (t9)  Administração de estoque (MRP para consumo), lotes e estoque central",,,
734,2122,Fiscal/Tributário,Relatórios,SD,MM,SD - BPD002 - Remessa e Outras Saídas,BPD002 -  Comercial - Remessa e Outras Saídas,Permitir emissão de relatório de mercadorias remetidas para conserto.,,,,,,,,,,
735,2123,Fiscal/Tributário,Relatórios,SD,MM,SD - BPD002 - Remessa e Outras Saídas,BPD002 -  Comercial - Remessa e Outras Saídas,"Permitir emissão de relatório de mercadorias remetidas para industrialização em terceiros, e de terceiros em
poder próprio.",,,GAP – Deverá ser desenvolvido uma solução para referenciar a nota de saída para industrialização e um popup para identificar o FIFO de notas.,,GAP,,,,,
736,2124,Fiscal/Tributário,Relatórios,SD,,SD - BPD002 - Remessa e Outras Saídas,BPD002 -  Comercial - Remessa e Outras Saídas,"Permitir   emissão   de   relatório   para   controlar   as   informações   relacionadas   as   aquisições   faturadas   via
“venda/compra para entrega futura”, bem como saldo contábil e quantidade.",,,,,,,,,,
737,2125,Fiscal/Tributário,Relatórios,SOLUTIO,,SOLUTIO - BPD028 - Gestão Fiscal Total Compliance SOLUTIO para SAP,BPD028 - Fiscal - Gestão Fiscal Total Compliance SOLUTIO para SAP,"Permitir  emissão de  relatório de  ressarcimento ou complemento de ICMS ST na venda de Diesel e Gasolina
interestadual  conforme  convênio 110/2007. Ex: ICMS  ST  devido de  Destino  subtraído  do  ICMS  ST  retido na Origem.",,Atende,a ferramenta calcula o imposto e gera as obrigações acessórias. Extrair as infomações da ferramenta em relatório não faz parte da proposta. Foi feito a demo da ferramenta e atendeu via cockpit. Pela Stefanini era um GAP previamente identificado a ser corrigido no GRC - GAP: Relatório de ressarcimento ou complemento de ICMS ST,,GAP,,,,,
738,2126,Fiscal/Tributário,Relatórios,HPM,MM,HPM - BPD004 - Gestão de Conversão e Manejo de Tanques (IS-Oil),BPD004 - OIL - Gestão de Conversão e Manejo de Tanques (IS-Oil),"Permitir relatório dos inventários de estoque demonstrando por produto, filial, período, ganho de variação de temperatura e volume e valor contábil bem como a respectiva redução em virtude da tributação via FCV.",,,,,,,,,,
811,2127,Fiscal/Tributário,Fiscal,SD,MM,SD - BPD005 - Localização Brasil (Impostos NF-e Saída),BPD005 - Comercial - Localização Brasil (Impostos NF-e Saída),"Permitir  parâmetros  para  cadastro  de  tributação  possibilitando  a  exclusão  do  ICMS  na  base  de  cálculo  do Pis/Cofins para determinados produtos de determinadas empresas. Ex: Frete na BWT, Ex: Arla e Lubrificante na Potencial Petroleo, Ex: Etanol Hidratado cálculo por  m³ na Potencial Petroleo. O reflexo destes impostos
devem refletir na formação do preço do combustivel.",,,Possibilitar exclusão do ICMS da base de cálculo em determinados produtos e determinadas empresas.,,GAP,,"400 - Definição matriz tributária (overview cockpit de parâmetros fiscais: J1BTAX)
401 - Parâmetros fiscais e seus impactos",,,
812,2128,Fiscal/Tributário,Fiscal,SD,MM,SD - BPD005 - Localização Brasil (Impostos NF-e Saída),BPD005 - Comercial - Localização Brasil (Impostos NF-e Saída),"MP 1.063 – Tributação do Anidro na adição da Gasolina A quando ocorrer a venda de Gasolina C. Alíquota por unidade de medida (m³)
Base Legal:
Em 25/11/2021, o Plenário da Câmara dos Deputados aprovou a MPV nº 1.063, de 2021, na forma do PLV nº 27, de 2021, remetendo a matéria ao Senado Federal.",,,"GAP: Incluir PIS e COFINS no cálculo de produtos que tenham Álcool Anidro na composição (Exp: Gasolina C). Caso o produto vendido seja somente o Álcool Anidro, esses impostos não deverão ser calculados.",,GAP,,"400 - Definição matriz tributária (overview cockpit de parâmetros fiscais: J1BTAX)
401 - Parâmetros fiscais e seus impactos",,,
813,2129,Fiscal/Tributário,Fiscal,SD,SD/SOLUTIO,SD - BPD005 - Localização Brasil (Impostos NF-e Saída),BPD005 - Comercial - Localização Brasil (Impostos NF-e Saída),"Permitir o cálculo do ICMS Efetivo na Venda de Combustiveis realizados para consumidor final. Alguns Estados
mediante adoção de ROT (Regime Optativo Tributário), se faz necessário apurar a diferença de imposto onde as bases de cálculo passam a ser o preço de venda versus o valor da PMPF bem como permitir a geração do arquivo  para transmissão  de  declaração (Ex:  DRC-ST  no  Estado  de  Santa Catarina,  ADRC-ST no  Estado do Paraná)
Bases Legais:
SP  –  Portaria  CAT  42-2018  instituiu  o  calculo  para  consumidor  final   e   PORTARIA  CAT-25,  DE  30-4-2021 instituiu o ROT
PR  –  instituiu  o  calculo  consumidor   e  ADRC-ST  foi  a  NPF  3/2020   e     Decreto  n°  5.799/2020  (DOE  de 28.09.2020) instituiu o ROT
MG – Decreto 47.547/2018 instituiu o calculo  consumidor, alterado decreto N° 47.923, DE 23 DE ABRIL DE 2020  e Decreto 47.621/2019 opção pela definitividade da base de calculo  (ROT)
SC – Decreto 1818/2018 a entrega do arquivo do DRC-ST
RS – Decreto 54.308/2018 instituiu o calculo consumidor e foi alterado pelo Decreto 55.297/2020 artigo 25A a 25C",,,"GAP: Permitir o cálculo do ICMS Efetivo na Venda de Combustiveis realizados para consumidor final. Alguns Estados
mediante adoção de ROT (Regime Optativo Tributário), se faz necessário apurar a diferença de imposto onde as bases de cálculo passam a ser o preço de venda versus o valor da PMPF bem como permitir a geração do arquivo  para  transmissão  de  declaração  (Ex:  DRC-ST  no  Estado  de  Santa  Catarina,  ADRC-ST  no  Estado  do Paraná)
Bases Legais:
SP  –  Portaria  CAT  42-2018  instituiu  o  calculo  para  consumidor  final    e    PORTARIA  CAT-25,  DE  30-4-2021 instituiu o ROT
PR  –  instituiu  o  calculo  consumidor    e  ADRC-ST  foi  a  NPF  3/2020    e      Decreto  n°  5.799/2020  (DOE  de 28.09.2020) instituiu o ROT
MG – Decreto 47.547/2018 instituiu o calculo   consumidor, alterado decreto N° 47.923, DE 23 DE ABRIL DE 2020  e Decreto 47.621/2019 opção pela definitividade da base de calculo  (ROT)
SC – Decreto 1818/2018 a entrega do arquivo do DRC-ST
RS – Decreto 54.308/2018 instituiu o calculo consumidor e foi alterado pelo Decreto 55.297/2020 artigo 25A a 25C",,GAP,,"400 - Definição matriz tributária (overview cockpit de parâmetros fiscais: J1BTAX)
401 - Parâmetros fiscais e seus impactos",,,
814,2130,Fiscal/Tributário,Fiscal,SD,SD/SOLUTIO,SD - BPD005 - Localização Brasil (Impostos NF-e Saída),BPD005 - Comercial - Localização Brasil (Impostos NF-e Saída),"Permitir o cálculo do ICMS Efetivo na Venda de Combustiveis realizados para consumidor final. Alguns Estados
mediante adoção de ROT (Regime Optativo Tributário), se faz necessário apurar a diferença de imposto onde as bases de cálculo passam a ser o preço de venda versus o valor da PMPF bem como permitir a geração do arquivo  para transmissão  de  declaração (Ex:  DRC-ST  no  Estado  de  Santa Catarina,  ADRC-ST no  Estado do Paraná)
Bases Legais:
SP  –  Portaria  CAT  42-2018  instituiu  o  calculo  para  consumidor  final   e   PORTARIA  CAT-25,  DE  30-4-2021 instituiu o ROT
PR  –  instituiu  o  calculo  consumidor   e  ADRC-ST  foi  a  NPF  3/2020   e     Decreto  n°  5.799/2020  (DOE  de 28.09.2020) instituiu o ROT
MG – Decreto 47.547/2018 instituiu o calculo  consumidor, alterado decreto N° 47.923, DE 23 DE ABRIL DE 2020  e Decreto 47.621/2019 opção pela definitividade da base de calculo  (ROT)
SC – Decreto 1818/2018 a entrega do arquivo do DRC-ST
RS – Decreto 54.308/2018 instituiu o calculo consumidor e foi alterado pelo Decreto 55.297/2020 artigo 25A a 25C",,,"GAP: Permitir o cálculo de ICMS da “nova substituição tributária” promovida pela distribuidora nas saídas de gasolina c e gasolina aditivada, destinada a contribuinte varejista de combustíveis, pelo regime de ST, hipótese em que a distribuidora será a responsável pelo pagamento do imposto nas  operações  internas subsequentes, ajustada pela multiplicação do fator de ajuste correspondente ao município do Rio Grande do Sul.",,GAP,,"400 - Definição matriz tributária (overview cockpit de parâmetros fiscais: J1BTAX)
401 - Parâmetros fiscais e seus impactos",,,
815,2131,Fiscal/Tributário,Fiscal,SD,SD/SOLUTIO,SD - BPD005 - Localização Brasil (Impostos NF-e Saída),BPD005 - Comercial - Localização Brasil (Impostos NF-e Saída),"Permitir o cálculo do ICMS Efetivo na Venda de Combustiveis realizados para consumidor final. Alguns Estados
mediante adoção de ROT (Regime Optativo Tributário), se faz necessário apurar a diferença de imposto onde as bases de cálculo passam a ser o preço de venda versus o valor da PMPF bem como permitir a geração do arquivo  para transmissão  de  declaração (Ex:  DRC-ST  no  Estado  de  Santa Catarina,  ADRC-ST no  Estado do Paraná)
Bases Legais:
SP  –  Portaria  CAT  42-2018  instituiu  o  calculo  para  consumidor  final   e   PORTARIA  CAT-25,  DE  30-4-2021 instituiu o ROT
PR  –  instituiu  o  calculo  consumidor   e  ADRC-ST  foi  a  NPF  3/2020   e     Decreto  n°  5.799/2020  (DOE  de 28.09.2020) instituiu o ROT
MG – Decreto 47.547/2018 instituiu o calculo  consumidor, alterado decreto N° 47.923, DE 23 DE ABRIL DE 2020  e Decreto 47.621/2019 opção pela definitividade da base de calculo  (ROT)
SC – Decreto 1818/2018 a entrega do arquivo do DRC-ST
RS – Decreto 54.308/2018 instituiu o calculo consumidor e foi alterado pelo Decreto 55.297/2020 artigo 25A a 25C",,,GAP: GAP para regras específicas dos cálculos do segmento de Oil.,Sim - 14,GAP,,"400 - Definição matriz tributária (overview cockpit de parâmetros fiscais: J1BTAX)
401 - Parâmetros fiscais e seus impactos",,,
178,3001,Contabilidade,Ativo Fixo,FI,AA,FI - BPD005 - Gestão de Ativos imobilizados (AA),BPD005 - Finanças - Gestão de Ativos imobilizados (AA),"Permitir o cálculo do ICMS Efetivo na Venda de Combustiveis realizados para consumidor final. Alguns Estados
mediante adoção de ROT (Regime Optativo Tributário), se faz necessário apurar a diferença de imposto onde as bases de cálculo passam a ser o preço de venda versus o valor da PMPF bem como permitir a geração do arquivo  para transmissão  de  declaração (Ex:  DRC-ST  no  Estado  de  Santa Catarina,  ADRC-ST no  Estado do Paraná)
Bases Legais:
SP  –  Portaria  CAT  42-2018  instituiu  o  calculo  para  consumidor  final   e   PORTARIA  CAT-25,  DE  30-4-2021 instituiu o ROT
PR  –  instituiu  o  calculo  consumidor   e  ADRC-ST  foi  a  NPF  3/2020   e     Decreto  n°  5.799/2020  (DOE  de 28.09.2020) instituiu o ROT
MG – Decreto 47.547/2018 instituiu o calculo  consumidor, alterado decreto N° 47.923, DE 23 DE ABRIL DE 2020  e Decreto 47.621/2019 opção pela definitividade da base de calculo  (ROT)
SC – Decreto 1818/2018 a entrega do arquivo do DRC-ST
RS – Decreto 54.308/2018 instituiu o calculo consumidor e foi alterado pelo Decreto 55.297/2020 artigo 25A a 25C",,Atende,,,,,,,,
179,3002,Contabilidade,Ativo Fixo,FI,AA,FI - BPD005 - Gestão de Ativos imobilizados (AA),BPD005 - Finanças - Gestão de Ativos imobilizados (AA),"Permitir o cálculo do ICMS Efetivo na Venda de Combustiveis realizados para consumidor final. Alguns Estados
mediante adoção de ROT (Regime Optativo Tributário), se faz necessário apurar a diferença de imposto onde as bases de cálculo passam a ser o preço de venda versus o valor da PMPF bem como permitir a geração do arquivo  para transmissão  de  declaração (Ex:  DRC-ST  no  Estado  de  Santa Catarina,  ADRC-ST no  Estado do Paraná)
Bases Legais:
SP  –  Portaria  CAT  42-2018  instituiu  o  calculo  para  consumidor  final   e   PORTARIA  CAT-25,  DE  30-4-2021 instituiu o ROT
PR  –  instituiu  o  calculo  consumidor   e  ADRC-ST  foi  a  NPF  3/2020   e     Decreto  n°  5.799/2020  (DOE  de 28.09.2020) instituiu o ROT
MG – Decreto 47.547/2018 instituiu o calculo  consumidor, alterado decreto N° 47.923, DE 23 DE ABRIL DE 2020  e Decreto 47.621/2019 opção pela definitividade da base de calculo  (ROT)
SC – Decreto 1818/2018 a entrega do arquivo do DRC-ST
RS – Decreto 54.308/2018 instituiu o calculo consumidor e foi alterado pelo Decreto 55.297/2020 artigo 25A a 25C",,Atende,,,,,,,,
180,3003,Contabilidade,Ativo Fixo,FI,AA,FI - BPD005 - Gestão de Ativos imobilizados (AA),BPD005 - Finanças - Gestão de Ativos imobilizados (AA),"Efetuar cadastro parametrizado de bens e as transferências de bens / patrimônio (entre centros de custos e filiais) individuais ou em lote, mantendo histórico das transferências entre filiais.",,Atende,,,,,,,,
181,3004,Contabilidade,Ativo Fixo,FI,AA,FI - BPD005 - Gestão de Ativos imobilizados (AA),BPD005 - Finanças - Gestão de Ativos imobilizados (AA),"Calcular a depreciação e amortização oficial, gerencial e custos dos itens cadastrados (ativos).",,Atende,,,,,,,,
182,3006,Contabilidade,Ativo Fixo,FI,AA,FI - BPD005 - Gestão de Ativos imobilizados (AA),BPD005 - Finanças - Gestão de Ativos imobilizados (AA),"Gerenciar e classificar os bens por tipos, modelos e conjuntos de bens.",,Atende,,,FIT,,"ID 16,17 FI-AA M3",BNI - Criar ativo imobilizado,,
183,3007,Contabilidade,Ativo Fixo,FI,AA,FI - BPD005 - Gestão de Ativos imobilizados (AA),BPD005 - Finanças - Gestão de Ativos imobilizados (AA),"Permitir cadastro parametrizável de ativo fixo (centro de custos, conta contábil), refletindo estas informações na contabilidade gerencial e geral.",,Atende,,,FIT,,"ID 16,17 FI-AA M3",BNI - Criar ativo imobilizado,,
184,3008,Contabilidade,Ativo Fixo,FI,AA,FI - BPD005 - Gestão de Ativos imobilizados (AA),BPD005 - Finanças - Gestão de Ativos imobilizados (AA),"Permitir   controle   por   centros   de   custos   (função),   local   (estabelecimento,   unidade   de   negócio),   filial, departamento.",,Atende,Necessário entendimento,,FIT,,"ID 16,17 FI-AA M3",BNI - Criar ativo imobilizado,,
185,3009,Contabilidade,Ativo Fixo,FI,AA,FI - BPD005 - Gestão de Ativos imobilizados (AA),BPD005 - Finanças - Gestão de Ativos imobilizados (AA),Permitir controle por grupos e subgrupos de ativos.,,,Necessário entendimento,,FIT,,"ID 16,17 FI-AA M3",BNI - Criar ativo imobilizado,,
186,3010,Contabilidade,Ativo Fixo,FI,AA,FI - BPD005 - Gestão de Ativos imobilizados (AA),BPD005 - Finanças - Gestão de Ativos imobilizados (AA),Permitir alteração de taxa de depreciação.,,Atende,,,FIT,,"ID 16,17 FI-AA M3",J62 - Contabilidade do imobilizado,,
187,3012,Contabilidade,Ativo Fixo,FI,AA,FI - BPD005 - Gestão de Ativos imobilizados (AA),BPD005 - Finanças - Gestão de Ativos imobilizados (AA),Possuir controle das operações de inventário de bens do ativo fixo.,,Atende,,,,,,,,
188,3013,Contabilidade,Ativo Fixo,SOLUTIO,FI/AA,SOLUTIO - BPD028 - Gestão Fiscal Total Compliance SOLUTIO para SAP,BPD028 - Fiscal - Gestão Fiscal Total Compliance SOLUTIO para SAP,"Contemplar cálculo do CIAP: - ICMS; - PIS/COFINS sobre depreciação de máquinas e equipamentos, veículos,
etc.",,,Verificar escopo de sistema fiscal,,,,,,,
189,3014,Contabilidade,Ativo Fixo,FI,AA/SOLUTIO,FI - BPD005 - Gestão de Ativos imobilizados (AA),BPD005 - Finanças - Gestão de Ativos imobilizados (AA),"Possuir integração com módulo/sistema Fiscal Tributário, para apuração contábil dos tributos.",,,Verificar escopo de sistema fiscal,,,,,,,
190,3015,Contabilidade,Ativo Fixo,FI,AA,FI - BPD005 - Gestão de Ativos imobilizados (AA),BPD005 - Finanças - Gestão de Ativos imobilizados (AA),Permitir o registro de reavaliação do bem em relação ao valor justo.,,,Necessário entendimento,,,,,,,
191,3017,Contabilidade,Ativo Fixo,FI,AA,FI - BPD005 - Gestão de Ativos imobilizados (AA),BPD005 - Finanças - Gestão de Ativos imobilizados (AA),Possibilitar o cálculo da depreciação proporcional ao dia de aquisição.,,Não atende,,,,,,,,
192,3018,Contabilidade,Ativo Fixo,FI,AA,FI - BPD005 - Gestão de Ativos imobilizados (AA),BPD005 - Finanças - Gestão de Ativos imobilizados (AA),Permitir a simulação de cálculo de depreciação e sua respectiva exclusão.,,,Necessário entendimento,,,,,,,
193,3019,Contabilidade,Ativo Fixo,FI,AA,FI - BPD005 - Gestão de Ativos imobilizados (AA),BPD005 - Finanças - Gestão de Ativos imobilizados (AA),Calcular correção monetária em diversas moedas e índices alternativos.,,,Necessário entendimento,,,,,,,
194,3021,Contabilidade,Ativo Fixo,FI,AA/MM,FI - BPD005 - Gestão de Ativos imobilizados (AA),BPD005 - Finanças - Gestão de Ativos imobilizados (AA),"Permitir  inclusão de bens por meio da integração com o módulo de compras, listando os produtos/serviços das   respectivas   notas   fiscais   de   entrada   para   possível   integração   com   o   controle   de   patrimônio   (via importação de arquivos eletrônicos ou integração automática).",,,Necessário entendimento,,,,,,,
195,3022,Contabilidade,Ativo Fixo,FI,AA,FI - BPD005 - Gestão de Ativos imobilizados (AA),BPD005 - Finanças - Gestão de Ativos imobilizados (AA),"Possibilitar a realização de inventários por: filial, departamento, centro de custos, local real, espécie e conta contábil. Permitindo que  a coleta dos dados  seja feita de forma manual ou através da carga de um arquivo texto com leiaute ajustável, que pode ser gerado através de um coletor de código de barras.",,Não atende,,,GAP,,,,,
196,3023,Contabilidade,Ativo Fixo,FI,AA,FI - BPD005 - Gestão de Ativos imobilizados (AA),BPD005 - Finanças - Gestão de Ativos imobilizados (AA),"Permitir  inclusão,  alteração  e  exclusão  de  cadastros  de  bens,  considerando,  além  dos  dados  existentes  na solução padrão sugerida, os campos de empresas, centros de custos e plaquetas (código patrimonial)",,Atende,,,,,,,,
197,3024,Contabilidade,Ativo Fixo,FI,AA,FI - BPD005 - Gestão de Ativos imobilizados (AA),BPD005 - Finanças - Gestão de Ativos imobilizados (AA),Permitir incorporação ao bem principal.,,Atende,,,,,,,,
198,3025,Contabilidade,Ativo Fixo,FI,AA,FI - BPD005 - Gestão de Ativos imobilizados (AA),BPD005 - Finanças - Gestão de Ativos imobilizados (AA),Permitir a geração de logs para: - Inclusão/Alteração/Exclusão/Transferências de ativos imobilizados para fins de rastreabilidade.,,Atende,,,,,,,,
199,3028,Contabilidade,Ativo Fixo,FI,AA,FI - BPD005 - Gestão de Ativos imobilizados (AA),BPD005 - Finanças - Gestão de Ativos imobilizados (AA),"Permitir cadastrar ou parametrizar vida útil/percentual depreciação diferenciada, conforme legislação fiscal e normas gerenciais.",,Atende,,,,,,,,
200,3029,Contabilidade,Ativo Fixo,FI,AA,FI - BPD005 - Gestão de Ativos imobilizados (AA),BPD005 - Finanças - Gestão de Ativos imobilizados (AA),Permitir o controle dos valores residuais dos itens do patrimônio.,,Atende,,,,,,,,
201,3030,Contabilidade,Ativo Fixo,FI,AA,FI - BPD005 - Gestão de Ativos imobilizados (AA),BPD005 - Finanças - Gestão de Ativos imobilizados (AA),"Permitir  quando  da  transferência  de  local  ratear  para  duas  ou  mais  áreas.  A  Solução  deverá  ser  capaz  de
realizar a união/desmembramento de ativos e sua valoração",,,Necessário entendimento,,,,,,,
202,3031,Contabilidade,Ativo Fixo,FI,AA,FI - BPD005 - Gestão de Ativos imobilizados (AA),BPD005 - Finanças - Gestão de Ativos imobilizados (AA),"Permitir  o  controle  físico  /  financeiro  dos  bens  patrimoniais  com  classificação  por  níveis  organizacionais  da
empresa,   (diretoria,   superintendência,   divisão   e   localidades),   por   níveis   de   contas   contábeis   e   outras (detentor, situação, origem, data, dentre outros).",,,Necessário entendimento,,,,,,,
203,3032,Contabilidade,Ativo Fixo,FI,AA,FI - BPD005 - Gestão de Ativos imobilizados (AA),BPD005 - Finanças - Gestão de Ativos imobilizados (AA),"Permitir o controle de bens com códigos de barra, através de interface com software e leitora de códigos de
barra.",,Não atende,,,GAP,,,,,
204,3035,Contabilidade,Ativo Fixo,SOLUTIO,FI/AA,SOLUTIO - BPD028 - Gestão Fiscal Total Compliance SOLUTIO para SAP,BPD028 - Fiscal - Gestão Fiscal Total Compliance SOLUTIO para SAP,CONTROLE PADRÃO DE CIAP E SUAS FUNCIONALIDADES,,,Verificar escopo de sistema fiscal,,,,,,,
205,3036,Contabilidade,Contabilidade,CO,COPA,CO - BPD016 - Margem Analise - Rentabilidade do Produto,BPD016 - Finanças - Margem Analise - Rentabilidade do Produto,"Permitir a apuração de resultados por filial, unidade de negócio, centro de custo e tipo de produto.",,,,,,,,J55,,
206,3037,Contabilidade,Contabilidade,GR,FI-GL e GR,GR - BPD015 - Gestão de Consolidação Societária (GR),BPD015 - Finanças - Gestão de Consolidação Societária (GR),"Gerar demonstrativos de resultado patrimonial (ativo, passivo, DRE, lucros e prejuízos, evolução patrimonial, DFC, DMPL, DVA, EBITDA), por filial, unidade de negócio, centro de custo e tipo de produto.",,,GR / BPC - Fechar tema,,,,,,,
207,3038,Contabilidade,Contabilidade,CO,CO,CO - BPD014 - Fechamento de despesas e cálculos dos custos padrão e real (Material Ledger),BPD014 - Finanças - Fechamento de despesas e cálculos dos custos padrão e real (Material Ledger),Possibilitar o controle e rateio dos gastos (despesas e custos).,,,,,,,,2QL,,
208,3039,Contabilidade,Contabilidade,SOLUTIO,,SOLUTIO - BPD028 - Gestão Fiscal Total Compliance SOLUTIO para SAP,BPD028 - Fiscal - Gestão Fiscal Total Compliance SOLUTIO para SAP,"Atender a exigências fiscais e legais (Federal, Estadual e Municipal), considerando, além das exigências fiscais e  legais  existentes  na  solução  padrão  sugerida,  obrigatoriamente  as  seguintes  exigências:  livros,  balancete, IN86, SPED Contábil (ECD / ECF), DIRF, DCTF e FCont.",,,,,,,,,,
209,3040,Contabilidade,Contabilidade,SOLUTIO,,SOLUTIO - BPD028 - Gestão Fiscal Total Compliance SOLUTIO para SAP,BPD028 - Fiscal - Gestão Fiscal Total Compliance SOLUTIO para SAP,Emitir Livro de Apuração do Lucro Real (LALUR) para SPED e IR.,,,,,,,,,,
210,3041,Contabilidade,Contabilidade,FI,FI-GL,FI - BPD003 - Gestão da Contabilidade Geral (GL),BPD003 - Finanças - Gestão da Contabilidade Geral (GL),Permitir o registro de lançamentos contábeis por interface (integração com outros sistemas / módulos). Folha de Pagamento – Senior Integração da folha de pagamento gerada pelo sistema Senior sem limitação de linhas para o arquivo txt.,,Não atende,Interface Sênior,,GAP,,,,,
211,3042,Contabilidade,Contabilidade,FI,FI-GL,FI - BPD003 - Gestão da Contabilidade Geral (GL),BPD003 - Finanças - Gestão da Contabilidade Geral (GL),Permitir lançamentos e saldos contábeis em multimoedas.,,Atende,,,,,,,,
212,3043,Contabilidade,Contabilidade,FI,FI-GL,FI - BPD003 - Gestão da Contabilidade Geral (GL),BPD003 - Finanças - Gestão da Contabilidade Geral (GL),Permitir identificação dos lançamentos feitos manualmente. (Ajustes).,,Atende,,,,,,,,
213,3044,Contabilidade,Contabilidade,FI,FI-GL,FI - BPD003 - Gestão da Contabilidade Geral (GL),BPD003 - Finanças - Gestão da Contabilidade Geral (GL),"Permitir   lançamentos   contábeis   (automatizados   e/ou   manuais),   considerando,   além   dos   lançamentos contábeis existentes na solução padrão sugerida, os seguintes lançamentos por: por filial, unidade de negócio,
centro de custo e tipo de produto.",,Atende,,,,,,,,
214,3045,Contabilidade,Contabilidade,FI,FI-GL e CO,FI - BPD001 - Estrutura Organizacional Finanças,BPD001 - EO - Estrutura Organizacional Finanças,"Permitir a parametrização de planos de contas para multiempresas. Permitir cadastro de plano de contas e de centro de custos, parametrizáveis, com a descrição das contas e inserção de texto explicativo, se necessário. Definição  de  um  novo  plano  de  contas  para  adequação  as  normas  legais  e  atender  o  perfil  industrial,  bem como redefinição de centros de custo.",,,Não há texto explicativo no cadastro da conta contábil,,FIT,FI-GL (t1),"ID 5,6,7,8 - FI-GL-T1 - Estrutura Organizacional de Finanças",BNG - Criar conta razão e classe de custo,,
